min(X),min(Y),min(Z),max(X),max(Y),max(Z),mean(X),mean(Y),mean(Z),variance(X),variance(Y),variance(Z),std(X),std(Y),std(Z),skewness(X),skewness(Y),skewness(Z),kurtosis(X),kurtosis(Y),kurtosis(Z),median(X),median(Y),median(Z),percentile25(X),percentile75(X),percentile25(Y),percentile75(Y),percentile25(Z),percentile75(Z),corr_axis(XY),corr_axis(XZ),corr_axis(YZ),zerocross(X),zerocross(Y),zerocross(Z),energy(X),energy(Y),energy(Z),dominantFr(X),dominantFrMag(X),dominantFr(Y),dominantFrMag(Y),dominantFr(Z),dominantFrMag(Z),IdentityTag,8activity
-1.2659,5.0804,-11.2053,3.8433,16.5155,-1.0543,0.672363713,8.7967265,-4.325237,1.10666086,8.040146417,6.790932804,1.051979496,2.835515194,2.605941827,0.416228538,0.850605856,-0.900078954,2.863314577,2.716201283,3.046769397,0.591615,8.26555,-3.73185,-0.0121527,1.3363,6.42205,10.5611,-5.85975,-2.29915,0.273892868,-0.197755742,-0.249433078,15,8,10,311,17076,5093,0.5859375,98.69872758,1.5625,944.966222,1.3671875,759.2255487,112,7
-1.2971,4.4151,-10.9742,5.2944,15.5628,-1.1788,0.9927206,9.0007355,-3.615608,2.279749987,6.673874503,5.158443336,1.509884097,2.583384312,2.271220671,0.80006678,0.783544429,-1.429677946,3.435037156,3.198884628,4.354379699,0.926485,8.58485,-2.8909,-0.399615,1.8736,7.39465,9.91805,-4.4132,-2.0266,0.060790498,0.101371152,-0.333937707,8,12,7,651,17531,3641,0.5859375,182.1022504,1.5625,854.0710952,1.7578125,612.6632831,112,7
-1.7847,3.4471,-12.9202,3.8559,18.5326,-0.97289,0.305484134,8.6689615,-4.70627195,1.351881072,14.9059846,7.525412124,1.162704207,3.860826932,2.743248462,0.896344099,0.82513632,-0.61818603,3.324766452,2.834870151,2.732044724,0.0091739,7.9845,-4.55735,-0.507305,0.89748,5.63095,10.76425,-6.835,-2.1324,0.176265184,-0.202676048,-0.469944569,9,11,6,288,17996,5927,0.78125,89.55891309,1.3671875,1360.767385,1.3671875,1157.388034,112,7
-2.1772,4.2331,-10.0008,3.6998,16.596,-0.21356,0.731664618,8.920415,-3.6056498,1.473620277,11.69076756,5.703918629,1.213927624,3.419176445,2.388287803,0.281881083,0.711632245,-0.753114307,2.955825033,2.28349761,2.691863939,0.575165,7.91505,-3.30115,0.0411785,1.51875,6.40475,11.3554,-4.97095,-1.43625,0.136751495,-0.210031721,-0.475904644,7,12,10,400,18241,3735,0.78125,132.2619738,1.5625,1492.491963,1.3671875,819.4381137,112,7
-1.3122,6.3861,-6.3112,4.027,16.3396,-0.42261,0.80019515,9.519005,-2.575086,1.359350437,4.432505466,2.00141612,1.165911848,2.105351625,1.414714148,0.397147182,1.190935222,-0.708620448,3.001962805,3.883217606,2.512744203,0.79655,8.96645,-2.19685,-0.1047475,1.49455,8.0701,10.3065,-3.51935,-1.45365,0.026532811,-0.122043158,-0.153363812,14,13,9,399,19004,1724,0.5859375,125.3861646,1.5625,571.4441193,1.5625,281.4114812,112,7
-1.6914,5.3061,-9.6981,3.528,14.9091,-1.2951,0.64212768,9.1863145,-4.2471545,1.450412144,7.511274455,4.290203297,1.204330579,2.740670439,2.071280593,0.285026786,0.522035105,-0.773275321,2.432673974,2.14557081,2.665952479,0.73531,8.55545,-3.54175,-0.481205,1.45575,6.91825,11.14335,-5.5483,-2.7397,0.015697338,-0.26328591,-0.629115888,12,11,7,371,18372,4461,0.9765625,120.6792191,1.7578125,1179.445213,1.7578125,678.8880631,112,7
-1.853,4.3235,-9.8117,3.077,14.8493,-1.165,0.471207795,8.588724,-3.820769,1.320892407,8.245712306,4.675135097,1.149300834,2.871534835,2.162206072,0.238377362,0.489255212,-0.982267795,2.347941371,2.150853528,3.03453206,0.6262,8.223,-3.11965,-0.49227,1.24795,6.00605,10.89525,-4.82785,-2.0478,-0.022113072,-0.190457507,-0.710421802,11,12,9,307,16394,3850,0.78125,138.7171434,1.7578125,1384.479373,1.7578125,752.6055034,112,7
-1.5022,4.2798,-9.8385,3.3153,15.1218,-1.0733,0.269918775,9.3352565,-4.114429,1.406517619,9.705618247,5.637344793,1.185966955,3.115384125,2.37430933,0.635776851,0.170345462,-0.780055854,2.557848337,1.832128045,2.472806701,0.00765052,8.97255,-3.2143,-0.68309,0.984565,6.52465,12.23125,-5.91635,-2.1903,0.086802031,-0.20602517,-0.640660709,8,10,7,294,19361,4508,0.9765625,140.6798689,1.7578125,1657.973551,1.7578125,891.1926393,112,7
-1.853,4.5815,-11.3671,3.231,15.1482,-1.1779,0.484647115,8.7391225,-4.1108085,1.700322353,8.497303187,5.74576516,1.303964092,2.915013411,2.397032574,0.129122038,0.76523998,-1.047857257,1.991333001,2.438648932,3.324537318,0.710215,7.8387,-3.46485,-0.73498,1.37015,6.4795,10.4593,-5.59355,-2.1555,-0.00246015,0.002441071,-0.630866358,9,13,7,385,16965,4523,0.78125,237.4566424,1.5625,1166.262804,1.5625,783.4282091,112,7
-0.92909,4.4764,-12.1017,4.6157,15.8027,-1.113,0.842541749,8.623192,-4.24516,1.742743917,9.367683027,6.708242801,1.320130265,3.060667089,2.590027568,1.009229056,0.886064628,-1.199965905,3.149207158,2.613069041,3.865546548,0.40789,7.9105,-3.5483,-0.137535,1.6935,6.33495,9.8874,-5.5725,-2.2048,-0.299319653,-0.540439465,-0.184035282,15,9,13,489,16736,4939,0.5859375,218.9364358,1.3671875,802.3269327,1.171875,820.80222,112,7
