min(X),min(Y),min(Z),max(X),max(Y),max(Z),mean(X),mean(Y),mean(Z),variance(X),variance(Y),variance(Z),std(X),std(Y),std(Z),skewness(X),skewness(Y),skewness(Z),kurtosis(X),kurtosis(Y),kurtosis(Z),median(X),median(Y),median(Z),percentile25(X),percentile75(X),percentile25(Y),percentile75(Y),percentile25(Z),percentile75(Z),corr_axis(XY),corr_axis(XZ),corr_axis(YZ),zerocross(X),zerocross(Y),zerocross(Z),energy(X),energy(Y),energy(Z),dominantFr(X),dominantFrMag(X),dominantFr(Y),dominantFrMag(Y),dominantFr(Z),dominantFrMag(Z),IdentityTag,8activity
-18.0565,1.2474,-0.13955,-0.42512,10.6407,5.8667,-8.95435175,4.9040595,2.278972267,15.79354594,4.306887286,2.638038008,3.974109453,2.075304143,1.624203807,-0.021803997,0.627142062,0.578151889,2.582610584,3.335008231,2.417070417,-8.5605,4.8335,1.9896,-11.683,-6.3995,3.1538,6.0614,1.02855,2.85865,0.346151689,-0.279285762,0.184012124,6,11,7,19179,5667,1564,1.5625,2362.638154,1.3671875,355.3658823,0.78125,263.4483575,112,7
-16.7027,1.1124,-2.1629,-3.4817,7.6762,6.4332,-9.2284045,4.4749575,1.64792238,14.3101593,1.753828578,4.294627583,3.782877119,1.324321932,2.072348326,-0.22391357,-0.715176531,0.200779772,1.808770918,3.48869311,2.304507575,-8.6629,4.73405,1.5129,-12.89885,-6.0181,4.06195,5.21275,0.013238,3.1903,-0.000774184,-0.183589792,-0.245045085,6,13,3,19880,4354,1398,1.5625,2397.517089,1.5625,117.7134393,0.5859375,562.7961267,112,7
-20.1246,-0.09076,-0.53621,0.05894,11.3562,6.3863,-9.458903285,4.346808715,2.451195822,30.6866051,3.8784855,3.752078314,5.539549178,1.969387087,1.937028217,0.012856451,0.817779935,0.22922789,1.711058355,4.880469184,1.880506994,-9.37315,4.17025,2.18385,-14.7721,-4.13295,3.252,5.2365,0.74598,4.0325,0.092886652,-0.382209723,0.36507052,6,13,6,24001,4551,1948,1.3671875,4726.537488,1.171875,273.1923875,1.5625,484.2289139,112,7
-24.4424,0.42826,0.097217,-1.2277,7.982,7.6391,-9.071324,4.28819205,2.675097735,31.75393976,2.480870083,2.94046227,5.635063421,1.575077802,1.714777615,-0.522921981,0.063419037,0.382174538,2.547330315,2.649369614,2.448369339,-8.39485,4.1331,2.5157,-13.0599,-3.887,3.32615,5.52355,1.05805,4.18,-0.28371037,-0.714795219,0.662540513,6,12,8,22777,4171,2016,1.5625,4874.447333,1.3671875,221.7289477,1.5625,445.5275108,112,7
-16.7736,-0.71655,-1.4588,-4.0347,7.2582,8.9418,-8.7230805,4.50535815,3.018036102,8.52766324,2.138233032,8.247185336,2.9202163,1.462269822,2.871791311,-0.797147965,-1.019673988,0.442392943,3.11365411,5.198185258,2.271280686,-8.13575,4.5688,2.47815,-10.4,-6.6991,3.7657,5.43475,0.82841,4.926,-0.093747802,-0.270201832,-0.458744006,8,11,6,16915,4485,3463,1.5625,1173.764154,0.78125,129.3351888,0.78125,986.8730695,112,7
-19.6854,1.5712,-0.1573,-4.473,7.7172,5.59,-10.034435,4.097354,2.321483047,16.47997927,2.060631712,2.77701421,4.059554072,1.43549006,1.666437581,-0.317594384,0.527434925,0.374968585,1.843292996,2.388541654,2.110014589,-9.43645,3.6101,2.0114,-13.7114,-6.3021,3.0675,5.32355,0.883145,3.3942,0.001290428,-0.567588649,0.182815533,7,7,9,23417,3768,1630,1.7578125,2913.802566,1.7578125,150.2842895,1.7578125,243.3047888,112,7
-18.153,1.4952,0.040049,-3.9491,7.3199,5.371,-10.1639425,4.340171,2.586025685,15.21508654,2.823814169,2.050019412,3.900652065,1.680420831,1.431788885,-0.28586189,0.331645578,-0.053889313,1.775124802,1.746696058,2.001152658,-9.5579,3.84325,2.46395,-13.78515,-6.45465,2.8821,6.08015,1.57395,3.8899,0.013643183,-0.747054053,0.42935567,7,8,9,23689,4329,1745,1.7578125,2823.882289,0.9765625,360.053951,1.7578125,254.3742413,112,7
-18.3167,1.3572,-0.08221,-3.6033,8.4294,6.2854,-10.3170045,4.5318475,2.481491106,23.5964768,3.365821581,3.001251749,4.857620488,1.834617557,1.732412119,-0.186045835,0.228550828,0.242212031,1.556948077,2.100444565,1.984891479,-9.65005,4.413,2.48185,-15.5211,-5.72295,2.89025,5.9677,0.80994,3.8517,0.00928263,-0.896551576,0.127261615,7,7,7,25984,4777,1829,1.7578125,4559.590781,0.78125,380.3014109,1.7578125,472.0578844,112,7
-23.0289,-0.89687,-0.32304,-2.8172,8.4156,9.7131,-10.3791405,3.625866,2.171710117,31.94607882,3.838664356,4.234595037,5.652086236,1.959250968,2.057813169,-0.377113959,0.381683846,1.168594799,1.898738548,2.518375995,4.622880356,-9.5607,3.43225,1.92185,-15.7134,-5.12145,2.0711,5.07265,0.26493,3.41945,-0.090349242,-0.798325834,0.166986787,7,8,9,27903,3393,1786,1.7578125,5274.905426,0.78125,218.8714344,1.5625,438.5875738,112,7
-18.5204,1.2723,-1.6693,-2.6003,7.7602,7.3681,-8.4090365,4.0536335,2.1932208,10.94223965,1.485519376,4.881388448,3.307905629,1.218818844,2.209386441,-0.716688833,-0.051023944,0.334575572,3.222193411,3.227117274,2.473994053,-7.95165,4.0844,2.04525,-10.5974,-5.86135,3.38675,4.84025,0.69273,3.6602,0.241978823,-0.387719325,-0.285927306,7,14,4,16320,3582,1933,1.3671875,1387.077299,1.171875,119.7295521,0.9765625,742.1255463,112,7
